fecha	cat	item	qty	valor	total
15.Feb..2026	tazas	LOGO CUPS Tazas Espresso	2	CHF 0.00	CHF 0.00
15.Feb..2026	tazas	LOGO CUPS Tazas Doppio	2	CHF 0.00	CHF 0.00
15.Feb..2026	tazas	LOGO CUPS Tazas Flat White	2	CHF 0.00	CHF 0.00
15.Feb..2026	tazas	LOGO CUPS Tazas Flat White	2	CHF 0.00	CHF 0.00
15.Feb..2026	retail	Jarra Pieber	1	CHF 50.00	CHF 50.00
15.Feb..2026	retail	Origami L	2	CHF 19.00	CHF 38.00
15.Feb..2026	retail	Origami S	2	CHF 19.00	CHF 38.00
15.Feb..2026	retail	Origami Holder	2	CHF 10.00	CHF 20.00
15.Feb..2026	retail	Origami Holder	2	CHF 10.00	CHF 20.00
15.Feb..2026	cafe matcha chai choc	cafe 1kg Nicaragua	1	CHF 19.82	CHF 19.82
15.Feb..2026	cafe matcha chai choc	cafe 1kg Ethiopia by dabov	2	CHF 23.00	CHF 46.00
15.Feb..2026	cafe matcha chai choc	cafe 1kg Honduras El Puente	2	CHF 21.55	CHF 43.10
15.Feb..2026	cafe matcha chai choc	Chai Original Blend 250g	4	CHF 7.20	CHF 28.80
15.Feb..2026	consumibles	Manhattan Mani Esp.	2	CHF 0.00	CHF 0.00
15.Feb..2026	cafe matcha chai choc	cafe 200g Ethiopia Alo Mosto	2	CHF 11.32	CHF 22.64
15.Feb..2026	cafe matcha chai choc	cafe 200g Costa Rica Thermal	2	CHF 7.54	CHF 15.08
15.Feb..2026	cafe matcha chai choc	cafe 200g Nicaragua Gesha La Orquidea	4	CHF 8.50	CHF 34.00
15.Feb..2026	cafe matcha chai choc	cafe 200g Honduras Caballero	2	CHF 4.70	CHF 9.40
15.Feb..2026	cafe matcha chai choc	cafe 200g Nicaragua los placeres	3	CHF 4.36	CHF 13.08
15.Feb..2026	cafe matcha chai choc	cafe 1kg Brasil	2	CHF 18.15	CHF 36.30
15.Feb..2026	cafe matcha chai choc	cafe 1kg Honduras El Puente	1	CHF 21.55	CHF 21.55
15.Feb..2026	cafe matcha chai choc	cafe 200g Ethiopia by dabov	1	CHF 4.99	CHF 4.99
15.Feb..2026	cafe matcha chai choc	cafe 1kg Honduras El Puente	1	CHF 21.55	CHF 21.55
15.Feb..2026	retail	Laflor White	2	CHF 6.40	CHF 12.80
15.Feb..2026	retail	Laflor Dark Milk	2	CHF 6.40	CHF 12.80
15.Feb..2026	retail	Laflor Swiss Dark Goat Milk	2	CHF 7.00	CHF 14.00
15.Feb..2026	retail	Laflor Swiss Dark Choc Salt	2	CHF 6.40	CHF 12.80
15.Feb..2026	retail	Laflor Dark Chocolate	2	CHF 6.40	CHF 12.80
15.Feb..2026	cafe matcha chai choc	cafe 1kg Café descafeinado	2	CHF 21.50	CHF 43.00
15.Feb..2026	cafe matcha chai choc	cafe 200g honduras el puente	6	CHF 4.60	CHF 27.60
15.Feb..2026	cafe matcha chai choc	cafe 200g Ethiopia by dabov	4	CHF 4.99	CHF 19.96
15.Feb..2026	cafe matcha chai choc	Chai 1kg	2	CHF 28.00	CHF 56.00
15.Feb..2026	cafe matcha chai choc	Chocolate Garçoa	3	CHF 43.00	CHF 129.00
15.Feb..2026	cafe matcha chai choc	cafe 200g Nicaragua Gesha La Orquidea	3	CHF 8.50	CHF 25.50
15.Feb..2026	cafe matcha chai choc	cafe 200g Ethiopia Alo Mosto	1	CHF 11.32	CHF 11.32
15.Feb..2026	cafe matcha chai choc	cafe 200g Costa Rica Thermal	1	CHF 7.54	CHF 7.54
15.Feb..2026	milk	leche normal	9	CHF 1.50	CHF 13.50
15.Feb..2026	milk	leche Avena	12	CHF 2.75	CHF 33.00
15.Feb..2026	tartas	Cookies	3	CHF 1.00	CHF 3.00
15.Feb..2026	consumibles	Gas Carbónico	1	CHF 70.00	CHF 70.00
15.Feb..2026	Drinks Beer	Drinks Cerveza Barriles Cerveza	2	CHF 60.00	CHF 120.00
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Kola Zero	7	CHF 1.57	CHF 10.99
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Kola Original	8	CHF 1.57	CHF 12.56
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Apfelschorle	8	CHF 1.90	CHF 15.20
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Zitrone	8	CHF 1.90	CHF 15.20
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Mate	8	CHF 1.90	CHF 15.20
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Green	7	CHF 1.76	CHF 12.32
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Blutorange	5	CHF 1.77	CHF 8.85
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Limette	6	CHF 1.77	CHF 10.62
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Black	7	CHF 1.76	CHF 12.32
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Red	7	CHF 1.76	CHF 12.32
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Ginger	7	CHF 1.77	CHF 12.39
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Maracuya	7	CHF 1.77	CHF 12.39
15.Feb..2026	Drinks Beer	Drinks Cerveza UNSER BIER AMBER 50cl BIO	5	CHF 2.75	CHF 13.75
15.Feb..2026	Drinks Beer	Drinks Cerveza Unser Bier NEIPA	5	CHF 2.38	CHF 11.90
15.Feb..2026	Drinks Beer	Drinks Cerveza Ueli Bier Weizen	4	CHF 2.99	CHF 11.96
15.Feb..2026	Drinks Beer	Drinks Cerveza Ueli Bier Old School Hops Cold IPA	8	CHF 2.40	CHF 19.20
15.Feb..2026	Drinks Beer	Drinks Cerveza Birtel American Red	12	CHF 2.50	CHF 30.00
15.Feb..2026	Drinks Beer	Drinks Cerveza Beer ☆ Galicia Gluten Free	12	CHF 1.04	CHF 12.48
15.Feb..2026	Drinks Beer	Drinks Cerveza Beer ☆ Galicia 0,0	6	CHF 0.85	CHF 5.10
15.Feb..2026	Drinks Wine	Drinks wine blanco Garnacha	2	CHF 6.00	CHF 12.00
15.Feb..2026	Drinks Wine	Drinks wine blanco Garnacha Nativa	2	CHF 6.00	CHF 12.00
15.Feb..2026	Drinks Wine	Drinks wine blanco XCLNT	2	CHF 13.00	CHF 26.00
15.Feb..2026	Drinks Wine	Drinks wine Rosa Care	2	CHF 6.50	CHF 13.00
15.Feb..2026	Drinks Wine	Drinks wine tinto XCLNT	2	CHF 14.00	CHF 28.00
15.Feb..2026	Drinks Wine	Drinks wine tinto Marimu	2	CHF 10.50	CHF 21.00
15.Feb..2026	Drinks Wine	Drinks wine tinto Cariñena Nativa	2	CHF 6.00	CHF 12.00
15.Feb..2026	Drinks Wine	Drinks wine tinto Bancales	2	CHF 10.50	CHF 21.00
15.Feb..2026	Drinks Beer	Drinks Cerveza Barriles Cerveza	2	CHF 60.00	CHF 120.00
15.Feb..2026	Drinks Beer	Drinks Cerveza Vasos Cerveza ☆ Galicia	5	CHF 0.00	CHF 0.00
15.Feb..2026	tazas	Loza Blanca Cuenco	7	CHF 0.00	CHF 0.00
15.Feb..2026	no consumibles	Carrito	1	CHF 0.00	CHF 0.00
15.Feb..2026	Drinks Beer	Drinks Cerveza UNSER BIER AMBER 50cl BIO	5	CHF 2.75	CHF 13.75
15.Feb..2026	Drinks Beer	Drinks Cerveza Unser Bier NEIPA	5	CHF 2.38	CHF 11.90
15.Feb..2026	Drinks Beer	Drinks Cerveza Ueli Bier Old School Hops Cold IPA	16	CHF 2.40	CHF 38.40
15.Feb..2026	Drinks Beer	Drinks Cerveza Ueli Bier Weizen	19	CHF 2.99	CHF 56.81
15.Feb..2026	Drinks Beer	Drinks Cerveza Birtel American Red	7	CHF 2.50	CHF 17.50
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Green	33	CHF 1.76	CHF 58.08
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Black	33	CHF 1.76	CHF 58.08
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Ginger	33	CHF 1.77	CHF 58.41
15.Feb..2026	Drinks Soft drinks	Drinks Charitea Red	33	CHF 1.76	CHF 58.08
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Zitrone	36	CHF 1.90	CHF 68.40
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Mate	36	CHF 1.90	CHF 68.40
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Apfelschorle	36	CHF 1.90	CHF 68.40
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Kola Original	36	CHF 1.57	CHF 56.52
15.Feb..2026	Drinks Soft drinks	Drinks Vivi Kola Zero	36	CHF 1.57	CHF 56.52
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Blutorange	42	CHF 1.77	CHF 74.34
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Limette	42	CHF 1.77	CHF 74.34
15.Feb..2026	Drinks Soft drinks	Drinks Lemonaid Maracuya	41	CHF 1.77	CHF 72.57
15.Feb..2026	retail	Camisetas Brü Negras	6	CHF 10.00	CHF 60.00
15.Feb..2026	retail	Camisetas Brü Negras Specialty	1	CHF 10.00	CHF 10.00
15.Feb..2026	retail	Camisetas Born to Brew	4	CHF 10.00	CHF 40.00
15.Feb..2026	retail	Camisetas Brü Blancas Specialty	4	CHF 10.00	CHF 40.00
15.Feb..2026	retail	Camisetas Run for the Brunch	6	CHF 10.00	CHF 60.00
15.Feb..2026	sandwich	sándwich pollo	4	CHF 2.72	CHF 10.87
15.Feb..2026	sandwich	sándwich atún	4	CHF 3.54	CHF 14.14
15.Feb..2026	tartas	ensaladas cesar	4	CHF 3.00	CHF 12.00
15.Feb..2026	tartas	ensaldas mediterranea	4	CHF 3.16	CHF 12.64
15.Feb..2026	bagel	Begel York	2	CHF 3.60	CHF 7.20
15.Feb..2026	bagel	begels de salmon	2	CHF 3.54	CHF 7.07
15.Feb..2026	tartas	Lemon cake	12	CHF 0.60	CHF 7.18
28.Feb..2026		Personal Bru1 	1	CHF 32'515.90
28.Feb..2026		Personal Bru2	1	CHF 7'344.42	CHF 6'517.06
31.März.2026		Personal Bru1 	1	CHF 37'962.22
31.März.2026		Personal Bru2	1	CHF 13'703.63	CHF 11'779.12
30.Apr..2026		Personal Bru1 	1	CHF 33'917.87
30.Apr..2026		Personal Bru2	1	CHF 13'901.41	CHF 12'962.93
31.Mai.2026		Personal Bru1 	1	CHF 34'969.83
31.Mai.2026		Personal Bru2	1	CHF 14'691.93	CHF 12'506.04
30.Juni.2026		Personal Bru1 	1	CHF 44'757.00
30.Juni.2026		Personal Bru2	1	CHF 13'731.00	CHF 10'577.62
